senseid,phoneid,path,area,arrtibute,subattribute,score
scene1,5,04440.jpg,"(0, 0, 3840, 2030)",Exposure,Exposure Target,1.6
scene1,1,04336.jpg,"(0, 0, 3840, 2030)",Exposure,Exposure Target,1.9
scene1,1,04336.jpg,"(0, 0, 3840, 2030)",Exposure,Exposure Target,2.6
scene1,2,04358.jpg,"(0, 0, 3840, 2030)",Exposure,Exposure Target,3.1
scene1,1,04336.jpg,"(0, 0, 3840, 2030)",Exposure,Exposure Target,3.2
scene1,6,G1164.jpg,"(0, 0, 3840, 2030)",Exposure,Exposure Target,3.3
scene1,2,04358.jpg,"(0, 0, 3840, 2030)",Exposure,Exposure Target,3.4
scene1,3,04410.jpg,"(0, 0, 3840, 2030)",Exposure,Exposure Target,3.6
scene1,2,04358.jpg,"(0, 0, 3840, 2030)",Exposure,Exposure Target,3.7
scene1,3,04410.jpg,"(0, 0, 3840, 2030)",Exposure,Exposure Target,3.8
scene1,3,04410.jpg,"(0, 0, 3840, 2030)",Exposure,Exposure Target,4.1
scene1,7,G1397.jpg,"(0, 0, 3840, 2030)",Exposure,Exposure Target,4.3
scene1,4,04413.jpg,"(0, 0, 3840, 2030)",Exposure,Exposure Target,4.7
scene1,4,04413.jpg,"(0, 0, 3840, 2030)",Exposure,Exposure Target,4.8
scene1,8,03227.jpg,"(0, 0, 3840, 2030)",Exposure,Exposure Target,5.0
